"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"CPOL-EUD";"PANASONIC_D";"C3";"POLARIZED CAPACITOR, European symbol";"";
"2";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED1, LED3";"LED";"";
"1";"";"PINHD-1X4";"1X04";"JP1";"PIN HEADER";"";
"1";"";"PINHD-1X6";"1X06";"J_MIC";"PIN HEADER";"";
"8";"";"R-EU_R0805";"R0805";"R1, R2, R4, R5, R6, R7, R8, R9";"RESISTOR, European symbol";"";
"1";"";"SJ";"SJ";"SJ1";"SMD solder JUMPER";"";
"1";"";"SJ2W";"SJ_2";"SJ2";"SMD solder JUMPER";"";
"2";"100n";"C-EUC0805K";"C0805K";"C6, C50";"CAPACITOR, European symbol";"";
"2";"10k";"R-EU_R0805";"R0805";"R3, R13";"RESISTOR, European symbol";"";
"2";"10u";"C-EUC0805";"C0805";"C1, C2";"CAPACITOR, European symbol";"";
"2";"2k2";"R-EU_R0805";"R0805";"R12, R14";"RESISTOR, European symbol";"";
"2";"330";"R-EU_R0805";"R0805";"R10, R11";"RESISTOR, European symbol";"";
"2";"CORTEX_DEBUGSMD";"CORTEX_DEBUGSMD";"2X5_FTSH-105";"J_ESP, J_JTAG";"Cortex Debug Connector - 10 pin";"";
"1";"ESP32_WROVER_DUAL";"ESP32_WROVER_DUAL";"ESP32_WROVER";"U$1";"";"";
"1";"HT7833";"HT7833";"SOT150P417X160-4N";"U$2";"";"";
"1";"JST-XH-02-PIN-ROUND-PAD";"JST-XH-02-PIN-ROUND-PAD";"JST-XH-02-PACKAGE-ROUND-PAD";"X2";"JST XH Connector 2 Pin";"";
"1";"JST-XH-08-PIN-ROUND-PAD";"JST-XH-08-PIN-ROUND-PAD";"JST-XH-08-PACKAGE-ROUND-PAD";"X3";"JST XH Connector 2 Pin";"";
"1";"SKQGADE010";"SMD-BUTTON(4P-5.2X5.2X1.5MM-SKQGADE010)";"SW_4P-5.2X5.2X1.5MM";"SW_RESET";"311020017";"";
